4,524,13,982,483,450,0,0,1
151,518,25,980,479,453,0,0,3
55,17,527,473,961,457,0,0,4
87,28,518,459,960,460,0,0,3
87,29,517,469,968,463,0,0,3
78,518,520,971,982,464,0,0,1
33,531,515,968,963,466,0,0,2
6,34,13,460,481,467,0,0,1
130,528,18,959,460,471,0,0,4
67,34,13,460,481,475,0,0,4
175,29,517,469,968,478,0,0,3
123,514,512,980,977,479,0,0,1
116,14,518,461,971,481,0,0,2
116,534,513,960,981,486,0,0,5
171,34,13,460,481,489,0,0,3
55,28,518,459,960,492,0,0,3
23,24,13,482,483,497,0,0,5
98,35,21,466,476,500,0,0,3
4,33,537,460,979,502,0,0,2
146,512,531,962,979,503,0,0,1
172,18,525,480,979,508,0,0,5
54,34,513,460,981,511,0,0,3
33,513,510,973,986,514,0,0,3
23,28,518,459,960,519,0,0,5
149,535,509,964,967,522,0,0,3
120,531,524,963,965,527,0,0,5
53,528,522,965,964,528,0,0,1
34,17,527,473,961,529,0,0,1
78,34,513,460,981,530,0,0,1
122,518,20,971,482,533,0,0,3
33,530,511,988,963,534,0,0,1
179,28,518,459,960,535,0,0,1
80,20,527,488,959,537,0,0,2
4,524,513,982,983,538,0,0,1
53,515,530,965,960,541,0,0,3
8,519,521,960,977,546,0,0,5
179,12,532,488,983,547,0,0,1
14,24,513,482,983,548,0,0,1
192,20,527,488,959,551,0,0,3
34,35,521,466,976,556,0,0,5
53,534,13,960,481,557,0,0,1
44,10,38,475,467,560,0,0,3
115,38,26,478,463,561,0,0,1
42,534,13,960,481,562,0,0,1
53,517,527,973,961,563,0,0,1
8,537,528,984,981,564,0,0,1
67,534,13,960,481,566,0,0,2
69,18,20,471,482,567,0,0,1
34,37,528,484,981,570,0,0,3
50,531,15,968,463,571,0,0,1
146,528,518,959,960,574,0,0,3
149,534,13,960,481,579,0,0,5
8,539,518,972,966,582,0,0,3
116,35,521,466,976,587,0,0,5
80,12,531,462,979,588,0,0,1
163,524,513,982,983,589,0,0,1
33,514,518,961,971,592,0,0,3
53,539,518,972,966,597,0,0,5
34,30,516,485,964,598,0,0,1
50,534,513,960,981,599,0,0,1
80,28,518,459,960,602,0,0,3
69,13,10,473,486,603,0,0,1
171,521,29,979,459,604,0,0,1
64,534,513,960,981,606,0,0,2
54,38,23,459,460,609,0,0,3
22,534,13,960,481,614,0,0,5
53,519,521,960,977,617,0,0,3
44,534,13,960,481,622,0,0,5
64,39,18,472,466,625,0,0,3
55,39,518,472,966,630,0,0,5
179,39,518,472,966,631,0,0,1
42,531,24,963,465,632,0,0,1
196,34,13,460,481,633,0,0,1
8,538,526,978,963,636,0,0,3
50,534,13,960,481,639,0,0,3
64,534,13,960,481,640,0,0,1
53,24,513,482,983,643,0,0,3
115,11,14,485,481,646,0,0,3
150,524,521,979,976,651,0,0,5
116,12,531,462,979,651,0,0,0
192,37,528,484,981,652,0,0,1
53,512,531,962,979,653,0,0,1
42,519,21,960,477,654,0,0,1
78,528,518,959,960,655,0,0,1
116,534,13,960,481,656,0,0,1
123,524,521,979,976,657,0,0,1
24,524,13,982,483,658,0,0,1
116,26,532,481,961,661,0,0,3
23,515,530,965,960,664,0,0,3
120,524,521,979,976,665,0,0,1
90,34,13,460,481,666,0,0,1
192,24,13,482,483,669,0,0,3
124,519,521,960,977,672,0,0,3
115,35,21,466,476,673,0,0,1
175,534,513,960,981,677,0,0,4
128,24,13,482,483,680,0,0,3
4,18,520,471,982,683,0,0,3
54,28,15,470,465,687,0,0,4
88,24,513,482,983,688,0,0,1
53,528,515,970,965,691,0,0,3
124,535,509,964,967,692,0,0,1
23,524,513,982,983,698,0,0,6
36,538,523,959,960,699,0,0,1
171,528,22,965,464,700,0,0,1
99,534,13,960,481,701,0,0,1
69,19,21,460,477,704,0,0,3
157,20,527,488,959,709,0,0,5
13,34,13,460,481,710,0,0,1
157,35,521,466,976,713,0,0,3
31,35,509,464,967,718,0,0,5
124,512,531,962,979,719,0,0,1
130,528,518,959,960,720,0,0,1
62,24,513,482,983,723,0,0,3
53,34,13,460,481,726,0,0,3
39,34,513,460,981,730,0,0,4
164,28,18,459,460,733,0,0,3
36,515,530,965,960,736,0,0,3
50,528,22,965,464,739,0,0,3
31,524,513,982,983,740,0,0,1
191,518,525,980,979,743,0,0,3
36,534,13,960,481,746,0,0,3
44,12,31,462,479,747,0,0,1
23,34,513,460,981,748,0,0,1
122,24,13,482,483,749,0,0,1
80,524,513,982,983,753,0,0,4
157,39,513,469,984,756,0,0,3
31,39,513,469,984,762,0,0,6
54,35,21,466,476,763,0,0,1
150,24,13,482,483,769,0,0,6
54,20,27,488,459,772,0,0,3
115,24,21,479,476,776,0,0,4
54,12,31,462,479,778,0,0,2
116,13,510,473,986,779,0,0,1
53,535,509,964,967,783,0,0,4
69,18,25,480,479,784,0,0,1
44,18,20,471,482,785,0,0,1
55,534,513,960,981,786,0,0,1
150,518,520,971,982,789,0,0,3
192,24,521,479,976,791,0,0,2
14,539,513,969,984,793,0,0,2
80,34,513,460,981,794,0,0,1
111,534,13,960,481,795,0,0,1
31,28,522,465,964,798,0,0,3
171,530,16,985,464,802,0,0,4
87,26,532,481,961,803,0,0,1
130,517,27,973,461,804,0,0,1
142,529,517,969,968,805,0,0,1
53,531,524,963,965,806,0,0,1
24,538,523,959,960,807,0,0,1
122,511,14,985,481,808,0,0,1
157,34,513,460,981,808,0,0,0
80,34,13,460,481,808,0,0,0
122,531,24,963,465,811,0,0,3
191,535,509,964,967,813,0,0,2
8,538,523,959,960,813,0,0,0
135,34,13,460,481,814,0,0,1
123,510,538,975,967,817,0,0,3
187,528,522,965,964,821,0,0,4
14,520,516,961,982,822,0,0,1
150,534,513,960,981,823,0,0,1
34,33,537,460,979,824,0,0,1
23,514,510,983,960,825,0,0,1
67,513,10,973,486,826,0,0,1
8,34,513,460,981,827,0,0,1
112,528,518,959,960,830,0,0,3
142,537,528,984,981,833,0,0,3
34,28,518,459,960,834,0,0,1
87,18,520,471,982,835,0,0,1
172,534,513,960,981,836,0,0,1
157,524,513,982,983,839,0,0,3
76,524,13,982,483,842,0,0,3
130,519,13,978,487,845,0,0,3
130,520,16,961,482,846,0,0,1
36,34,513,460,981,846,0,0,0
116,19,521,460,977,849,0,0,3
122,526,32,981,461,850,0,0,1
53,28,18,459,460,852,0,0,2
172,38,526,478,963,854,0,0,2
67,526,32,981,461,857,0,0,3
87,17,527,473,961,861,0,0,4
54,39,18,472,466,862,0,0,1
7,524,13,982,483,862,0,0,0
69,14,12,480,477,866,0,0,4
171,24,513,482,983,873,0,0,7
64,33,37,460,479,876,0,0,3
67,539,13,969,484,881,0,0,5
